Name;Location;Url;Conference Start Date;Call for Papers Date;Type
eenergy;Rotterdam;https://energy.acm.org/conferences/eenergy/2025/;17.06.25;Fall’24;Academic Conference
GREENS;Ottawa;https://greensworkshop.github.io/;27.04.25;11.11.24;Academic Workshop
EuroSys;Rotterdam;https://2025.eurosys.org/;30.03.25;15.10.24;Academic Conference
loco2024;Glasgow;https://locos.codeberg.page/loco2024/;03.12.24;24.09.24;Academic Workshop
wcst;Oxford;https://www.wcst.org/;04.11.24;;Academic Conference
igscc;Austin;https://www.igscc.org/;02.11.24;;Academic Conference
GreenCom;Copenhagen;https://ieee-cybermatics.org/2024/greencom/;19.08.24;01.05.24;Academic Conference
HotCarbon;Santa Cruz;https://hotcarbon.org/;11.07.24;;Academic Workshop
ICT4S;Stockholm;https://conf.researchr.org/home/ict4s-2024;24.06.24;;Academic Conference
LIMITS;Online;https://computingwithinlimits.org/2024/;18.06.24;;Academic Workshop
arcs;Potsdam;https://arcs-conference.org/home;14.05.24;;Academic Conference